ort,plz,landkreis
Altleiningen,67317,Landkreis Bad Dürkheim
Altlußheim,68804,Rhein-Neckar-Kreis
Altmannstein,93336,Landkreis Eichstätt
Altmärkische Höhe,39606,Landkreis Stendal
Altmärkische Höhe,39615,Landkreis Stendal
Altmärkische Wische,39615,Landkreis Stendal
Alt Meteln,19069,Landkreis Nordwestmecklenburg
Altmittweida,09648,Landkreis Mittelsachsen
Alt Mölln,23881,Kreis Herzogtum Lauenburg
Altomünster,85250,Landkreis Dachau
Altötting,84503,Landkreis Altötting
Altrich,54518,Landkreis Bernkastel-Wittlich
Altrip,67122,Rhein-Pfalz-Kreis
Altscheid,54636,Eifelkreis Bitburg-Prüm
Alt Schwerin,17214,Landkreis Mecklenburgische Seenplatte
Altshausen,88361,Landkreis Ravensburg
Altstrimmig,56858,Landkreis Cochem-Zell
Alt Sührkow,17166,Landkreis Rostock
Alt Tellin,17129,Landkreis Vorpommern-Greifswald
Alt Tucheband,15328,Landkreis Märkisch-Oderland
Altusried,87452,Landkreis Oberallgäu
Altwarp,17375,Landkreis Vorpommern-Greifswald
Altweidelbach,55469,Rhein-Hunsrück-Kreis
Altwigshagen,17379,Landkreis Vorpommern-Greifswald
Alt Zachun,19230,Landkreis Ludwigslust-Parchim
Alt Zauche-Wußwerk,15913,Landkreis Dahme-Spreewald
Alveslohe,25486,Kreis Segeberg
Alzenau,63755,Landkreis Aschaffenburg
Alzey,55232,Landkreis Alzey-Worms
Amberg,92224,
Amberg,86854,Landkreis Unterallgäu
Amelinghausen,21385,Landkreis Lüneburg
Amerang,83123,Landkreis Rosenheim
Amerdingen,86735,Landkreis Donau-Ries
Am Großen Bruch,39393,Landkreis Börde
Ammeldingen an der Our,54675,Eifelkreis Bitburg-Prüm
Ammeldingen bei Neuerburg,54673,Eifelkreis Bitburg-Prüm
Am Mellensee,15838,Landkreis Teltow-Fläming
Ammerbuch,72119,Landkreis Tübingen
Ammerndorf,90614,Landkreis Fürth
Ammersbek,22949,Kreis Stormarn
Ammerthal,92260,Landkreis Amberg-Sulzbach
Am Ohmberg,37345,Landkreis Eichsfeld
Amöneburg,35287,Landkreis Marburg-Biedenkopf
Amorbach,63916,Landkreis Miltenberg
Ampfing,84539,Landkreis Mühldorf am Inn
Am Salzhaff,18233,Landkreis Rostock
Amstetten,73340,Alb-Donau-Kreis
Amt Neuhaus,19273,Landkreis Lüneburg
Amtsberg,09439,Erzgebirgskreis
Amt Wachsenburg,99334,Ilm-Kreis
Amtzell,88279,Landkreis Ravensburg
Andechs,82346,Landkreis Starnberg
Anderlingen,27446,Landkreis Rotenburg (Wümme)
Andernach,56626,Landkreis Mayen-Koblenz
An der Poststraße,06647,Burgenlandkreis
Andervenne,49832,Landkreis Emsland
Andisleben,99189,Landkreis Sömmerda
Angelbachtal,74918,Rhein-Neckar-Kreis
Angelburg,35719,Landkreis Marburg-Biedenkopf
Angelroda,99338,Ilm-Kreis
Anger,83454,Landkreis Berchtesgadener Land
Angermünde,16278,Landkreis Uckermark
Angern,39326,Landkreis Börde
Angern,39517,Landkreis Börde
Anhausen,56584,Landkreis Neuwied
Ankershagen,17219,Landkreis Mecklenburgische Seenplatte
Anklam,17389,Landkreis Vorpommern-Greifswald
Ankum,49577,Landkreis Osnabrück
Annaberg-Buchholz,09456,Erzgebirgskreis
Annaburg,06925,Landkreis Wittenberg
Annweiler am Trifels,76855,Landkreis Südliche Weinstraße
Anröchte,59609,Kreis Soest
Anrode,99976,Unstrut-Hainich-Kreis
Ansbach,91522,
Anschau,56729,Landkreis Mayen-Koblenz
Antdorf,82387,Landkreis Weilheim-Schongau
Antrifttal,36326,Vogelsbergkreis
Antweiler,53533,Landkreis Ahrweiler
Anzing,85646,Landkreis Ebersberg
Apelern,31552,Landkreis Schaumburg
Apen,26689,Landkreis Ammerland
Apenburg-Winterfeld,38486,Altmarkkreis Salzwedel
Apensen,21641,Landkreis Stade
Apfeldorf,86974,Landkreis Landsberg am Lech
Apfeltrach,87742,Landkreis Unterallgäu
Apolda,99510,Landkreis Weimarer Land
Appel,21279,Landkreis Harburg
Appen,25482,Kreis Pinneberg
Appenheim,55437,Landkreis Mainz-Bingen
Appenweier,77767,Ortenaukreis
Arbach,56769,Landkreis Vulkaneifel
Arberg,91722,Landkreis Ansbach
Aremberg,53533,Landkreis Ahrweiler
Arendsee (Altmark),39619,Altmarkkreis Salzwedel
Arenrath,54518,Landkreis Bernkastel-Wittlich
Arenshausen,37318,Landkreis Eichsfeld
Aresing,86561,Landkreis Neuburg-Schrobenhausen
Arft,56729,Landkreis Mayen-Koblenz
Argenbühl,88260,Landkreis Ravensburg
Argenschwang,55595,Landkreis Bad Kreuznach
Argenthal,55496,Rhein-Hunsrück-Kreis
Arholzen,37627,Landkreis Holzminden
Arkebek,25767,Kreis Dithmarschen
Arlewatt,25860,Kreis Nordfriesland
Armsheim,55288,Landkreis Alzey-Worms
